Age,Outcome,min,max
21,0,18.0,480.0
21,1,167.0,167.0
22,0,16.0,335.0
22,1,159.0,474.0
23,0,37.0,680.0
23,1,48.0,48.0
24,0,55.0,387.0
24,1,120.0,250.0
25,0,52.0,275.0
25,1,74.0,540.0
26,0,36.0,255.0
26,1,99.0,99.0
27,0,44.0,235.0
27,1,96.0,190.0
28,0,74.0,166.0
28,1,90.0,579.0
29,0,65.0,76.0
29,1,191.0,325.0
30,0,23.0,293.0
30,1,156.0,225.0
31,0,110.0,744.0
31,1,114.0,230.0
32,0,54.0,120.0
32,1,91.0,91.0
33,0,83.0,83.0
33,1,58.0,176.0
34,0,,
34,1,392.0,392.0
35,0,42.0,130.0
35,1,88.0,88.0
36,0,,
36,1,175.0,175.0
37,0,68.0,155.0
37,1,225.0,225.0
38,0,,
38,1,180.0,271.0
39,0,49.0,193.0
39,1,175.0,175.0
40,0,22.0,94.0
40,1,130.0,130.0
41,0,200.0,200.0
41,1,156.0,304.0
42,0,48.0,196.0
42,1,130.0,130.0
43,0,67.0,67.0
43,1,125.0,480.0
44,0,,
44,1,258.0,258.0
45,0,100.0,105.0
45,1,140.0,140.0
46,0,105.0,126.0
46,1,180.0,184.0
47,0,49.0,49.0
47,1,114.0,114.0
48,0,54.0,54.0
49,0,168.0,168.0
49,1,,
50,0,,
50,1,144.0,144.0
51,0,135.0,135.0
51,1,146.0,237.0
52,0,,
52,1,156.0,156.0
53,0,,
53,1,543.0,543.0
54,0,,
54,1,126.0,126.0
55,0,190.0,190.0
56,0,,
56,1,207.0,207.0
57,0,110.0,110.0
58,0,,
59,0,,
59,1,,
60,0,326.0,326.0
60,1,,
61,1,,
62,0,,
62,1,,
63,0,,
64,0,,
65,0,,
66,0,,
66,1,,
67,0,,
67,1,,
68,0,,
69,0,,
70,1,,
72,0,,
81,0,60.0,60.0
